Marca,Modelo,Ano,Quilometros,Portas,Lugares,Mudancas,Preco
Nissan,MicraCC,2007,116000,3,5,5,6500
Audi,A3Sportback,2011,168000,5,5,6,13300
Renault,MéganeSportTourer,2014,154000,5,7,5,12200
Peugeot,5008,2018,7338,5,5,5,33500
Renault,MéganeSportTourer,2013,93000,5,7,5,13999
Peugeot,5008,2017,17973,5,4,5,29900
Smart,ForFour,2016,48342,5,5,9,10750
BMW,116,2016,44082,5,5,6,21900
BMW,118,2008,198414,5,4,6,11500
Peugeot,108,2017,21176,5,5,5,9750
BMW,118,2011,189900,5,5,8,12950
VW,Golf,2014,140000,5,5,5,16490
SEAT,Ibiza,2014,65000,5,5,6,14990
Peugeot,2008,2017,23997,5,5,6,17900
BMW,320,2007,150000,2,4,8,14990
Suzuki,GrandVitara,1998,131000,5,5,7,4500
Volvo,V60,2012,131000,5,5,6,19950
Peugeot,206SW,2003,238000,5,5,6,3500
VW,Polo,2010,125000,5,5,6,6800
Renault,MéganeSportTourer,2013,54820,2,4,8,13250
Mercedes-Benz,A180,2018,8900,5,5,5,34500
AlfaRomeo,GT,2009,82000,5,5,6,14250
SEAT,Leon,2014,120000,5,5,6,15990
Nissan,Juke,2016,33250,5,5,5,16700
Renault,MéganeSportTourer,2013,82124,5,5,5,12800
Renault,ClioSportTourer,2017,45115,4,9,6,15900
Renault,Trafic,2015,79190,5,7,5,19900
Citroën,C4GrandPicasso,2015,149000,5,5,5,16450
Toyota,Auris,2013,64140,5,5,5,15700
Renault,Captur,2013,100497,4,5,5,13500
Citroën,C5,2001,280000,5,5,5,2650
Ford,Fiesta,2009,106023,5,5,5,6890
SEAT,Ibiza,2012,71200,5,5,5,8700
Mercedes-Benz,C220,2011,280000,5,7,5,20500
Fiat,Doblo,2007,243000,5,5,6,5500
Citroën,C1,2012,39000,5,5,5,7950
Opel,Corsa,2017,21996,5,5,5,14500
Nissan,Micra,2005,243118,5,5,6,4990
Volvo,V70,2014,147399,5,5,6,18980
Volvo,V40,2014,49000,5,5,6,17900
Audi,Q5,2013,168304,5,5,6,24980
Bentley,Continental,1996,65000,2,4,6,79000
Toyota,AurisTouringSports,2014,133790,5,5,8,13900
Volvo,V40CrossCountry,2018,95,5,5,5,27900
BMW,225,2014,86000,2,5,6,35500
Ford,Focus,2005,146000,5,5,6,4000
Mercedes-Benz,C220,2009,283000,5,5,7,13900
Kia,Sportage,2015,36623,5,5,6,21900
DS,DS4,2016,45000,5,5,6,18995
Peugeot,208,2017,42126,5,5,6,12300
Audi,A6Avant,2014,113821,5,5,5,28900
Ford,Galaxy,2008,151500,5,7,6,13999
Peugeot,208,2017,42126,5,5,6,12300
Renault,MéganeSportTourer,2011,126097,5,5,5,13500
Opel,Adam,2017,19426,3,4,6,13550
VW,PassatVariant,2017,27948,5,5,7,27450
Mercedes-Benz,190,1991,279240,4,5,5,3400
Porsche,Panamera,2013,110000,4,4,5,85000
Fiat,500,2015,45190,3,4,6,12500
Audi,A4Avant,2012,130455,5,5,6,21790
Audi,A4Avant,2017,17535,5,5,5,44500
VW,GolfVariant,2017,24908,5,5,8,21990
VW,Golf,2017,26416,5,5,5,23190
Volvo,V60,2016,28000,5,5,5,27900
Volvo,V60,2014,158000,5,5,6,16299
Volvo,C30,2009,179000,3,4,5,9700
BMW,525,2018,102708,5,5,5,32800
SEAT,Altea,2007,207000,5,5,5,8475
Lexus,RX450h,2010,108000,3,4,5,25000
Opel,Adam,2015,18485,3,5,6,13550
Renault,MéganeCoupe,2011,82900,5,5,5,13750
Peugeot,107,2006,145000,5,5,5,4650
Audi,A3,2015,65000,5,5,5,21000
SEAT,Altea,2010,194200,5,5,6,10750
Peugeot,208,2016,65760,5,5,5,12600
Citroën,C3,2005,240000,5,5,5,4990
Fiat,Fiorino,2010,138452,5,4,5,8250
BMW,M3,2004,81000,2,2,5,52000
Smart,ForTwo,2014,35812,5,5,6,10900
Renault,Clio,2013,105000,5,5,5,10800
Kia,Rio,2014,44700,5,9,6,14450
Opel,Vivaro,2006,200000,5,5,5,6500
Volvo,V40,2016,10000,5,5,5,30900
Ford,FocusSW,2005,167500,5,5,6,4250
Renault,MéganeBreak,2007,178000,4,5,6,5900
SEAT,Ibiza,2010,92000,5,5,6,15900
Nissan,Navara,2005,200000,5,7,6,3900
Toyota,Auris,2013,139000,5,5,6,12499
Mercedes-Benz,A180,2017,29352,5,5,5,26300
Opel,AstraSportsTourer,2013,152000,5,5,5,9998
BMW,120,2013,127000,5,5,5,18389
VW,Polo,2016,58855,5,5,5,10900
BMW,118,2013,150000,3,5,5,18600
Opel,Corsa,2013,143000,5,5,6,7699
Opel,Corsa,2003,240000,4,5,6,4000
Renault,Clio,2014,170000,4,9,5,9900
Peugeot,Boxer,2004,200000,5,5,5,6200
Mercedes-Benz,SL350,2008,53172,2,4,7,35900
VW,Transporter,2014,192000,5,9,6,19990
Mercedes-Benz,C220,2008,220000,5,5,6,17990
Peugeot,RCZ,2011,70000,3,4,6,17990
BMW,116,2013,142000,5,5,5,14490
SEAT,Exeo,2010,81000,5,5,6,13900
VW,NewBeetle,2012,71500,3,4,6,14850
Hyundai,i30CW,2017,7000,5,5,6,24000
VW,Polo,2001,320000,4,5,6,2750
Mercedes-Benz,C180,2016,113000,5,5,5,28900
Nissan,Qashqai,2012,121000,5,5,8,15900
Audi,A6,2016,49000,4,5,5,39990
Audi,Q3,2017,31000,5,5,5,37090
Mercedes-Benz,C63AMG,2015,44850,4,5,5,89500
Citroën,C1,2008,130000,5,5,5,6000
Audi,A1Sportback,2017,34821,5,5,5,21650
Renault,ClioSportTourer,2015,16000,5,5,6,13900
BMW,520,2014,92000,5,5,6,29900
Renault,Clio,2013,105000,5,5,6,10900
Renault,MéganeSportTourer,2010,115789,5,5,5,9500
Opel,AstraSportsTourer,2016,66000,5,5,6,17900
Opel,Astra,2016,74000,5,5,6,19900
Peugeot,508SW,2012,136263,5,5,6,18400
Ford,Transit,2013,110317,4,9,6,19000
BMW,116,2017,12853,5,5,7,26500
Mercedes-Benz,C220,2016,63507,4,5,5,39999
Mercedes-Benz,CLA180,2016,29730,5,5,5,35500
Audi,A1,2012,79318,3,4,5,16500
Mercedes-Benz,E220,2016,30739,4,5,6,46500
Mercedes-Benz,E300,2014,69982,4,5,5,37500
Ford,Focus,2014,61659,5,5,6,16500
Jaguar,XE,2015,31379,5,5,6,36500
Mercedes-Benz,CLA180,2016,18000,5,5,8,27450
VW,Arteon,2018,2900,5,5,7,50990
VW,Golf,2014,92621,5,5,5,24900
Fiat,Punto,2002,133629,5,5,8,2150
Maserati,Quattroporte,2003,125000,5,4,6,27900
Kia,Ceed,2007,139442,5,2,6,7950
Porsche,Panamera,2013,144159,2,5,8,58900
Porsche,Boxster,2009,101335,5,5,7,40900
Renault,MéganeSportTourer,2014,49505,5,5,6,15690
Toyota,Yaris,2007,194321,5,5,6,7250
Renault,Zoe,2014,36020,5,5,6,13400
Renault,Clio,2006,154900,5,5,5,5490
Renault,MéganeSportTourer,2015,110000,5,5,6,12500
Mercedes-Benz,C200,2015,151232,5,5,5,27400
Smart,ForTwo,2010,117000,3,2,5,6500
Renault,MéganeSportTourer,2014,138000,5,5,6,13950
Fiat,Stilo,2003,222760,5,5,5,2950
Peugeot,307,2005,4750,5,5,5,4750
Peugeot,208,2013,106200,5,5,5,11950
Opel,Corsa,2013,144000,5,5,6,8950
Opel,Corsa,2014,130000,5,5,6,9950
Audi,TT,2015,37000,3,5,6,49900
Volvo,V40,2013,193000,5,5,6,11500
Fiat,500C,2012,94000,5,5,8,11250
Renault,Clio,2017,23604,5,5,6,16100
Opel,AstraSportsTourer,2016,41544,5,5,7,17900
VW,Polo,2005,97982,5,4,5,4650
Volvo,V40,2015,31317,5,5,6,23900
Toyota,Yaris,2004,127500,5,5,5,4850
Renault,Mégane,2004,230000,5,5,5,6500
Citroën,Nemo,2015,78000,5,5,6,6950
VW,PassatVariant,2012,189800,5,5,6,16000
Volvo,V40,2015,149000,5,7,6,16450
Peugeot,5008,2013,155000,5,5,5,15350
Toyota,Yaris,2002,130000,5,5,6,3500
Opel,Corsa,2005,98000,5,5,6,3150
Renault,MéganeSportTourer,2011,141000,5,5,6,11400
Mercedes-Benz,A180,2014,102800,5,5,6,21900
Renault,MéganeSportTourer,2013,189000,5,5,5,10890
Honda,CivicTourer,2017,6000,5,5,6,22500
Ford,Fiesta,2016,60000,5,5,6,12250
VW,GolfVariant,2013,131000,4,5,6,14690
BMW,520,2014,88000,5,5,5,29900
VW,GolfVariant,2013,174000,5,5,5,11690
Peugeot,208,2014,65000,5,5,5,12600
Mercedes-Benz,E250,2010,117000,6,5,6,25850
Renault,Mégane,2011,95000,5,2,5,11600
Renault,Clio,2017,32846,5,5,8,15890
Fiat,Punto,2014,78331,5,5,7,7740
MINI,Clubman,2017,28000,5,5,5,30450
Mercedes-Benz,GLA180,2017,22987,5,4,6,33200
Renault,MéganeCabrio,2001,262000,2,4,6,3750
Audi,TT,2001,179000,3,7,5,8950
VW,Sharan,2004,184000,5,5,7,9500
Renault,Clio,2015,29900,5,5,7,12750
Renault,MéganeBreak,2004,343591,5,5,7,3500
Mercedes-Benz,C220,2015,67000,5,5,7,33900
Mercedes-Benz,C220,2014,69000,5,5,6,32900
Mercedes-Benz,C300,2015,108000,5,5,7,34500
Mercedes-Benz,A45AMG,2016,28000,5,5,6,49900
Mercedes-Benz,C200,2011,197000,5,5,6,19500
Mercedes-Benz,GLA200,2014,62000,5,5,6,29900
Mercedes-Benz,C220,2015,130000,5,5,7,32900
Mercedes-Benz,C220,2009,157000,4,5,6,18500
Mercedes-Benz,C220,2015,84000,5,5,6,31900
Mercedes-Benz,GLA200,2014,63000,5,5,9,34500
Mercedes-Benz,C220,2015,85000,5,5,6,34900
Mercedes-Benz,C220,2014,60000,5,2,7,35900
Outranãolistada,Aixam,2005,39500,3,5,6,5250
Mercedes-Benz,GLC250,2016,29000,5,5,6,57500
Mercedes-Benz,GLA200,2014,57000,5,2,6,29900
Porsche,Cayenne,2008,160000,5,5,6,39000
Audi,A5,2009,171000,2,4,6,23500
Audi,A3Sportback,2015,90000,5,5,6,19900
Mercedes-Benz,C220,2014,130000,4,5,6,34000
Mercedes-Benz,E270,2003,330000,5,5,5,9750
Mercedes-Benz,C200,2014,60000,5,5,7,28500
Mercedes-Benz,C220,2015,87000,5,5,6,28900
Mercedes-Benz,E300,2014,116000,5,5,6,32900
Outranãolistada,Aixam,2005,44000,3,2,6,5850
Mercedes-Benz,C220,2015,92000,5,5,6,29500
Mercedes-Benz,C220,2015,42000,5,5,6,31900
Mercedes-Benz,C220,2014,139000,5,5,7,27500
Peugeot,508,2012,210000,4,5,7,14390
Mercedes-Benz,C220,2014,89000,5,5,6,30900
Outranãolistada,Ligier,2005,15541,3,2,6,4000
Mercedes-Benz,E300,2013,93000,5,5,6,32000
Mercedes-Benz,C220,2014,78000,5,5,5,29900
Ferrari,456,1994,82000,2,4,6,90000
BMW,320,2009,117600,3,4,6,18900
BMW,118,2011,138000,2,4,5,17950
Peugeot,207,2006,99904,2,5,5,6950
VW,Up,2013,58,5,4,5,7750
Opel,AstraSportsTourer,2012,160000,5,5,6,9890
Renault,Laguna,1998,240000,5,5,7,2500
Audi,A4Avant,2009,152269,5,5,5,16900
Fiat,500C,2015,59900,3,4,5,13400
BMW,520,2011,298000,5,5,5,21990
BMW,118,2014,148000,3,5,6,23990
VW,Sharan,2016,37500,5,7,6,29980
Fiat,TipoStationWagon,2018,1000,5,5,6,21600
Bentley,Continental,2013,55000,2,4,6,132900
AlfaRomeo,MiTo,2017,12000,3,5,6,17500
Mercedes-Benz,GLA180,2017,15000,5,5,5,37500
Honda,Jazz,2005,156000,5,7,6,3750
VW,Sharan,2008,380000,4,5,4,9900
Mercedes-Benz,C220,2002,238000,5,5,6,6999
Porsche,911,1973,69000,5,5,4,55000
Toyota,Yaris,2014,61000,5,5,5,10950
VW,Polo,2007,133000,5,5,5,5000
Nissan,Note,2014,65000,5,5,5,10950
Skoda,SuperbBreak,2016,35000,5,5,7,24500
Volvo,V40CrossCountry,2015,75460,5,5,5,19900
Renault,Clio,2015,109053,5,5,7,13500
Mercedes-Benz,C220,2014,95000,5,5,6,35900
Smart,ForTwo,2016,6484,5,5,6,9990
Mercedes-Benz,C220,2015,132183,5,5,6,27900
Audi,A3Sportback,2010,111000,5,5,7,13900
Mercedes-Benz,A180,2015,29995,4,5,6,23690
Audi,A4,2008,139000,5,4,5,14450
Peugeot,307,2005,190000,5,5,6,4500
Smart,ForFour,2017,13889,3,5,6,12990
AlfaRomeo,MiTo,2011,134000,3,7,5,11750
MINI,Cooper,2007,178000,5,5,5,7000
SEAT,Alhambra,2017,30000,5,5,5,38990
Opel,Meriva,2007,221847,4,5,7,5450
Subaru,Impreza,2011,96000,5,5,5,45500
Mercedes-Benz,C220,2003,206973,4,5,5,5000
Nissan,Navara,2004,158000,5,5,6,11300
VW,Golf,1999,182000,4,5,6,5950
Mercedes-Benz,CLA180,2016,39000,4,5,6,25500
Audi,A7,2010,290000,5,5,6,24950
Opel,AstraSportsTourer,2016,44000,5,5,5,16900
Renault,Clio,2013,97557,5,5,6,10950
Hyundai,i10,2017,12000,5,5,5,12250
Kia,CeedSW,2012,32500,5,5,6,17250
Fiat,Panda,2016,57460,5,5,8,7900
Jeep,Renegade,2018,1000,5,5,5,26400
Mitsubishi,Outlander,2018,8000,4,5,5,43250
Opel,Astra,1997,354000,5,5,8,1199
Peugeot,208,2016,20146,5,5,8,16000
BMW,X5,2017,19500,5,5,6,62750
Mercedes-Benz,C220,2002,96500,3,5,5,9990
Peugeot,308SW,2017,6500,5,5,6,34490
Audi,A3,2009,198000,5,5,6,13900
Audi,A4,2009,248083,5,5,5,14900
Ford,FocusSW,2017,26181,5,5,5,17490
Peugeot,208,2014,109593,4,5,6,11050
Renault,Mégane,2017,15957,5,5,5,20900
BMW,318,2016,54768,5,5,6,31590
BMW,116,2016,32500,3,4,6,24500
Renault,Twingo,2011,25000,2,2,6,6900
Fiat,500C,2017,20271,3,4,6,13900
Smart,ForTwo,2011,26543,5,7,5,8750
Mitsubishi,ASX,2017,28500,5,5,6,24500
Audi,A4Avant,2001,200000,5,5,5,4500
VW,GolfVariant,2016,81071,5,5,8,18900
Jaguar,E-Pace,2017,6500,5,5,5,62000
Opel,AstraSportsTourer,2012,85000,5,5,5,15900
Renault,Clio,2013,114207,5,5,9,10750
Opel,AstraSportsTourer,2017,11163,5,5,6,16900
Citroën,C-Elysée,2013,66000,4,5,5,10950
Volvo,XC60,2017,45165,5,5,5,42000
Jaguar,F-Pace,2016,42784,5,5,6,49900
BMW,730,2015,39400,5,5,6,77499
Renault,Mégane,2013,104044,5,5,6,12800
Fiat,Tipo,2017,22707,5,5,6,16490
Ford,Fiesta,2018,14500,5,5,6,18990
Mercedes-Benz,E250,2012,147000,5,5,6,26800
Renault,MéganeSportTourer,2014,181000,5,5,6,12900
Renault,Trafic,2006,220000,5,9,5,9999
VW,PassatVariant,2007,240000,4,5,5,8100
Chevrolet,Cruze,2011,73883,5,6,8,11450
SEAT,Ateca,2017,21000,5,5,6,22990
LandRover,DiscoverySport,2016,18107,5,5,6,39900
Opel,CrosslandX,2017,15341,5,5,6,22250
Kia,Soul,2010,59990,5,5,6,12290
Opel,Corsa,2016,40534,5,5,6,12990
BMW,320,2008,164374,3,4,6,18500
Mercedes-Benz,E220,2013,137000,5,5,6,33900
Mercedes-Benz,E250,2012,165000,5,4,6,23850
SEAT,Leon,2016,73000,5,5,6,16900
Mercedes-Benz,A180,2018,8500,5,5,5,32500
VW,CC,2012,70000,2,4,6,24250
BMW,M3,1986,94813,5,4,5,64000
Mercedes-Benz,CLA200,2015,42103,2,5,6,35890
Opel,InsigniaSportsTourer,2010,93679,5,2,8,15000
MG,MGB,1971,33830,5,5,5,21500
Toyota,Avensis,2014,160000,5,5,6,17500
Fiat,TipoStationWagon,2017,19511,5,5,6,16990
Peugeot,308,2017,15000,5,5,8,26250
BMW,520,2011,150800,5,5,6,19990
BMW,i3,2015,75000,5,6,8,26400
Ford,Taunus,1967,28557,2,5,6,6500
Peugeot,208,2017,19883,5,5,6,14700
MINI,Cabrio,2012,102941,5,5,6,18400
BMW,320,2016,32400,4,5,6,39999
MINI,One,2010,168000,2,4,5,10999
BMW,320,2013,160000,5,5,5,21990
MINI,One,2014,114000,3,4,5,14490
Opel,AstraSportsTourer,2012,164000,5,5,6,10499
MINI,One,2010,170000,3,4,5,12490
Peugeot,208,2018,2413,5,5,5,13700
Toyota,Avensis,2014,164000,5,5,6,16990
BMW,118,2011,145000,5,5,5,16500
BMW,318,2014,141000,5,5,5,21800
Volvo,V40CrossCountry,2014,160000,5,5,5,17500
Fiat,TipoStationWagon,2017,20785,3,4,5,16990
BMW,118,2010,160000,5,5,5,16800
BMW,116,2015,156000,5,5,6,17499
Opel,Corsa,2011,141200,5,5,6,8499
VW,GolfVariant,2012,177500,5,5,8,12490
BMW,116,2013,104000,5,5,6,16999
Audi,A5Sportback,2014,104000,4,5,5,29990
AlfaRomeo,MiTo,2011,99000,3,4,5,9790
Peugeot,508SW,2015,113000,5,5,6,16980
Fiat,500L,2016,38000,5,5,5,14580
Fiat,Panda,2016,29000,4,5,5,7980
Mercedes-Benz,B200,2012,83000,5,5,5,20980
VW,GolfVariant,2011,123000,5,5,5,12380
Skoda,OctaviaBreak,2015,113000,5,5,5,16900
Peugeot,3008,2013,151000,5,5,6,15499
Opel,Corsa,2013,129000,5,5,6,9980
Fiat,Punto,2016,28000,5,5,8,9980
VW,Up,2016,36000,5,4,6,9580
Opel,AstraSportsTourer,2011,173000,5,5,6,12380
Peugeot,308SW,2015,117000,5,5,6,14500
BMW,X3,2014,79000,5,5,6,34380
BMW,318,2009,324000,5,5,6,12380
BMW,116,2016,63000,5,5,5,18980
Nissan,Qashqai,2015,86000,5,5,6,19580
Volvo,V60,2015,82000,5,5,6,20580
Kia,Rio,2012,60767,5,5,6,11950
SsangYong,Korando,1998,264000,2,2,5,2900
Porsche,Boxster,2001,166382,5,5,6,18440
Audi,A1,2016,11300,3,4,6,33000
Smart,ForTwo,2005,204000,2,2,6,4700
Renault,GrandScénic,2015,87000,5,7,5,18499
Skoda,FabiaBreak,2011,124000,5,5,6,9000
Ford,S-Max,2011,139000,5,7,6,23499
Citroën,C4GrandPicasso,2015,75000,5,7,5,21999
Volvo,XC70,2009,216000,5,5,6,18900
Toyota,CorollaVerso,2002,390000,5,5,6,5900
Mercedes-Benz,ML320,2007,400000,5,5,6,17900
Peugeot,308SW,2015,154000,5,5,8,15900
Mercedes-Benz,E320,2000,400000,5,7,6,8500
BMW,X5,2016,25209,5,7,6,55900
BMW,318,2013,148000,5,5,6,26400
VW,Up,2017,29899,5,5,6,9899
Mitsubishi,Pajero,1998,286296,3,5,6,5600
VW,Golf,2013,89000,5,5,6,21900
Peugeot,508RXH,2012,169000,5,5,5,15900
Mercedes-Benz,A180,2018,8500,5,5,5,33000
Ford,FocusSW,2016,61000,5,2,6,17900
Mercedes-Benz,SLK230,2003,105000,2,7,5,9990
Peugeot,5008,2011,99150,5,5,6,14800
Nissan,Almera,2001,204000,5,5,6,2500
Opel,Insignia,2009,126500,4,5,6,9950
MINI,Cooper,2017,19606,5,5,6,27750
RollsRoyce,SilverShadow,1974,50532,4,5,6,45000
Citroën,C5Tourer,2011,128688,5,5,5,14990
Peugeot,407SW,2005,230000,5,5,8,5990
Fiat,500C,2014,47376,3,4,5,10990
Audi,A4Avant,2015,177000,5,5,6,24990
Smart,ForTwo,2003,125000,2,5,7,4900
Renault,MéganeCoupe,2009,141000,3,5,7,11500
Peugeot,208,2016,6000,5,5,8,15900
SEAT,Ibiza,2011,106000,5,5,5,9950
Renault,Captur,2016,24138,5,5,6,16900
Renault,Mégane,2014,107000,5,5,6,14999
VW,GolfVariant,2013,71182,5,5,6,14490
BMW,X5,2014,64046,5,7,5,52950
VW,NewBeetleCabriolet,2014,67800,3,4,5,22500
Fiat,500,2018,22,3,5,6,13999
MINI,Clubman,2016,94000,5,5,6,21000
Volvo,V40,2014,154000,5,4,6,16999
MINI,One,2015,66200,3,5,5,13750
MINI,One,2015,46900,5,4,6,17999
Fiat,500,2009,180000,3,5,6,12500
LandRover,RangeRoverSport,2007,193000,5,4,6,35000
Peugeot,207CC,2012,121600,2,5,6,12990
Peugeot,2008,2015,35000,5,5,6,18990
VW,PassatVariant,2015,38000,5,5,6,24500
Ford,FocusSW,2011,237000,5,5,8,12500
Mercedes-Benz,C220,2010,186000,5,5,9,17500
Opel,Astra,2017,13600,5,5,5,16490
Toyota,Yaris,2013,75000,5,5,5,11850
Opel,AstraSportsTourer,2016,40100,5,5,6,20490
Opel,Astra,2005,183000,3,5,5,6900
Peugeot,308,2009,122500,5,5,5,9500
Renault,MéganeCoupe,2011,106000,3,5,5,13490
Fiat,500,2011,105000,3,4,5,9800
VW,Golf,2015,129000,5,5,5,16900
VW,Up,2016,23850,5,4,5,8490
Mercedes-Benz,C200,2010,224000,5,5,5,16450
Smart,ForTwo,2014,23000,2,2,5,8450
Opel,Vectra,1997,231000,5,5,5,1750
Audi,A3,2001,298300,5,5,5,6000
Fiat,Punto,2002,195182,5,5,6,1990
VW,Sharan,1997,287736,5,7,7,3750
SEAT,Ibiza,2015,57388,5,5,5,9500
Porsche,911,2000,153107,3,4,6,39900
Fiat,GrandePunto,2007,242577,5,5,6,3900
BMW,320,2010,145000,2,4,6,20000
Peugeot,508SW,2014,134000,4,5,6,14950
BMW,530,2004,184000,5,5,6,11900
Peugeot,206SW,2005,202000,5,5,7,2900
BMW,X3,2004,157000,5,5,5,9650
Mercedes-Benz,A180,2017,26653,5,5,5,22380
Mercedes-Benz,B180,2014,173000,4,5,7,15950
Honda,CivicAerodeck,1999,165000,5,7,7,1950
Volvo,XC90,2004,170000,5,5,5,12200
Peugeot,508SW,2015,131204,5,5,5,17290
Mercedes-Benz,A200,2016,11910,5,5,5,28380
Mercedes-Benz,C220,2017,13121,5,5,6,39980
LandRover,RangeRover,2004,180500,5,5,5,19950
Hyundai,Accent,2000,236000,5,5,6,1250
Mercedes-Benz,C220,1998,357000,4,5,6,3900
LandRover,RangeRover,1998,224000,5,5,5,6500
MINI,Cooper,2009,164000,3,5,5,8750
SEAT,Ibiza,2006,216000,5,5,5,4850
Renault,MéganeSportTourer,2014,105800,5,5,6,12350
Renault,Captur,2014,50401,5,5,5,14990
Ford,Focus,2016,55027,5,5,6,15190
Peugeot,208,2016,40000,5,5,5,14900
Peugeot,208,2014,120000,5,5,6,10900
Peugeot,208,2016,29000,5,5,5,14500
Renault,MéganeSportTourer,2012,112000,5,5,5,14900
SEAT,Ibiza,2011,147000,5,5,7,10500
Renault,Mégane,2014,96334,5,5,6,15990
Mazda,MX-5,2000,150614,2,2,5,5900
BMW,840,1996,121000,2,4,5,31500
Mercedes-Benz,C180,2015,187000,5,5,7,24990
SEAT,Ibiza,2002,185000,3,5,5,4450
Jaguar,XJ,2009,160000,5,5,5,33000
Renault,MéganeSportTourer,2010,156000,5,5,6,9750
Opel,Meriva,2008,253380,5,5,9,4900
BMW,318,2014,129639,5,5,5,21900
VW,Polo,2005,186000,5,5,7,3400
Mercedes-Benz,A180,2018,5500,5,7,6,35000
BMW,116,2016,31000,5,5,6,24990
Volvo,S80,2010,179300,4,5,6,17450
Mazda,6,2007,101000,5,5,6,11950
Nissan,Qashqai,2013,103000,5,5,6,16600
BMW,318,2015,183000,5,5,6,31000
VW,GolfVariant,2011,127871,4,5,6,11850
BMW,520,2008,146069,5,5,6,18750
SEAT,Ibiza,2016,12121,5,5,6,11900
Fiat,GrandePunto,2010,144211,2,5,6,8800
Renault,Captur,2017,29800,3,2,6,18450
Mercedes-Benz,SLK200,2009,66000,3,4,6,21500
Renault,MéganeCC,2011,95000,5,4,6,16990
BMW,118,2010,99500,5,5,6,21500
Renault,MéganeSportTourer,2013,165000,5,5,5,12880
Renault,MéganeSportTourer,2015,43000,5,5,5,15490
AlfaRomeo,Giulietta,2016,38000,5,5,6,18900
Audi,A3,2016,28000,5,5,5,22900
BMW,118,2008,218000,5,5,8,12400
Citroën,DS4,2012,157000,5,5,5,14500
VW,GolfVariant,2014,121500,5,5,6,16500
Renault,Captur,2017,22000,3,5,5,19900
VW,GolfVariant,2012,129000,5,5,6,12900
Renault,MéganeCoupe,2013,141560,5,5,6,13250
BMW,320,2015,75000,5,5,6,33950
Volvo,XC90,2004,211170,5,5,6,12500
VW,Passat,2015,89000,5,5,5,22850
Hyundai,Accent,2000,236000,5,5,5,1250
Mercedes-Benz,C250,1997,340000,4,5,5,4999
Honda,Civic,2005,225000,5,5,5,4250
Fiat,500,2010,84000,3,4,6,6500
VW,PassatVariant,2015,117000,5,5,6,22850
Ford,FocusSW,2015,55000,5,5,5,17700
Mitsubishi,Colt,2006,145000,4,5,7,4450
Mercedes-Benz,E250,2014,77000,4,5,6,34900
BMW,320,2012,170979,4,5,5,24750
Audi,A6,2017,25000,4,7,5,43500
Ford,S-Max,2007,179000,5,4,8,10750
Renault,Twingo,2009,99460,3,5,6,7900
Peugeot,406SW,1999,430000,5,4,6,2850
Fiat,500,2016,9700,3,2,6,11500
Jeep,Wrangler,2009,68517,3,5,5,20500
Nissan,PickUp,2000,179072,4,5,5,4900
Citroën,C5Tourer,2011,166975,5,5,6,11950
Peugeot,208,2015,80000,5,5,5,13900
Skoda,Karoq,2018,10500,5,5,7,32950
Mercedes-Benz,A200,2018,10500,5,5,7,38000
Mercedes-Benz,CLA180,2018,8500,5,5,6,38000
Mercedes-Benz,C200,2015,71000,5,5,5,25900
Renault,LagunaBreak,2014,157990,5,5,6,12890
VW,GolfVariant,2013,183222,5,5,5,13000
Porsche,Panamera,2011,172000,5,4,6,52499
Audi,A4Avant,2013,85448,5,5,6,23900
Renault,Mégane,2011,184000,5,5,6,12990
Ford,Fiesta,2017,35692,5,5,5,13900
Mitsubishi,Pajero,2000,298000,3,5,5,9800
